Released_on,place_matches_cleaned,Text_Length,Sentiment_Score,View_Class,Engagement_Ratio,Like_Ratio,Day_of_Week,cast_jethalal,cast_daya,cast_bhide,cast_taarak,cast_tapu,cast_champaklal,cast_sodhi,cast_anjali,cast_sonu,cast_goli,cast_madhavi,cast_hathi,cast_roshan,cast_popatlal,cast_babita,cast_iyer,cast_bagha,cast_sundar,cast_nattu
2008-08-27,UNKNOWN_LOCATION,86,0.0,Hit,0.015175169538542092,0.7550667123438488,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-08-28,UNKNOWN_LOCATION,73,-0.5,Hit,0.020715232344358195,0.7233463473511207,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008-08-28,UNKNOWN_LOCATION,83,0.5,Hit,0.013670265120538238,0.8511559107270174,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,74,0.0,Hit,0.020378177629781676,0.9881390008751902,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,64,0.0,Hit,0.01890960791551784,0.8507471391922924,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,55,-0.5,Hit,0.01656148535463317,0.7220110743331636,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,Gokuldham Society,71,0.6666666666666666,Hit,0.019264211562820766,0.8567186134475968,3,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,79,-0.6666666666666666,Hit,0.016106947726961245,0.7221875890146234,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,Gokuldham Society,74,0.0,Good,0.01737584129572018,0.7632298678564629,3,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
2008-08-28,Gokuldham Society,83,0.0,Good,0.013783739211904839,0.7832661519692663,3,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0
2008-08-28,Gokuldham Society,73,0.0,Hit,0.013830416322398903,0.7897538748834778,3,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
2008-08-28,Gokuldham Society,77,-0.5,Hit,0.013293212246491451,0.7495756913342645,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-28,Gokuldham Society,69,0.0,Hit,0.015892428485877772,0.8517516087729919,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
2008-08-28,UNKNOWN_LOCATION,85,0.0,Hit,0.020616279541031762,0.8230617046126447,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,66,0.0,Hit,0.020614992352125654,0.8307698008710463,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,76,-0.5,Good,0.021941189480805593,0.9233595200097142,3,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,77,0.5,Good,0.017376783941041085,0.8558674143277936,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,49,0.0,Hit,0.015273470740154293,0.5688121073380201,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,UNKNOWN_LOCATION,74,0.0,Hit,0.016756662241261766,0.6902315733932786,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2008-08-28,UNKNOWN_LOCATION,44,0.0,Hit,0.018815486728258658,0.8168665556809838,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-28,Gokuldham Society,64,0.0,Hit,0.015827687753159406,0.7836191605678052,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
2008-08-28,UNKNOWN_LOCATION,58,0.0,Good,0.01591471966523488,0.8566954031440234,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
